"","date","year","treatment","treatment_status","drought","ndvi_mean","ndvi_median","ndvi_stdDev","blocktype","unitno","sat","ndmi_mean","ndmi_median","ndmi_stdDev","ndwi_mean","ndwi_median","ndwi_stdDev","month"
"1",2008-07-08,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.276678514448236,0.278565765130825,0.0147360507170998,"B-Even","1","LE07",0.203268794488397,0.204986699487831,0.0182906744071944,-0.257100927870215,-0.258116249837458,0.0132639725557577,7
"2",2008-07-08,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.262566841731851,0.268363557735293,0.0199691089604628,"B-Even","17","LE07",0.157460113563216,0.16862246121546,0.0423913967277775,-0.25426938545439,-0.2547220030458,0.0130424695463516,7
"3",2008-07-08,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.270028393149658,0.273451065091263,0.0228713587496361,"B-Even","23","LE07",0.17757331934662,0.179979044088015,0.0349159690968814,-0.255871658380425,-0.255217899482384,0.0160899493280661,7
"4",2008-07-08,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.284620428620657,0.287671232876712,0.0154488070379649,"B-Even","13","LE07",0.19762395930292,0.199305756436216,0.025685593297614,-0.27007933169105,-0.271232194027991,0.0142013270414683,7
"5",2008-07-08,2008,"Thin","Pre-Treatment","Abnormally Dry",0.255163715458722,0.262929315311323,0.0322290223944522,"UB-Even","9","LE07",0.151817302904434,0.159046421206082,0.0588804753382179,-0.246675309203813,-0.249978270317253,0.0209775042881196,7
"6",2008-07-08,2008,"Thin","Pre-Treatment","Abnormally Dry",0.272771238243615,0.273542600896861,0.0144630429597342,"UB-Even","11","LE07",0.176020854427707,0.180111209605931,0.0306521237583023,-0.258334615067455,-0.25843179377014,0.0127260275424178,7
"7",2008-07-08,2008,"Thin","Pre-Treatment","Abnormally Dry",0.283493073363134,0.284061004593463,0.0122713546995613,"UB-Even","4","LE07",0.207275784615419,0.208076184248171,0.0171146927981643,-0.267499505100238,-0.266974669405614,0.01087925858843,7
"8",2008-07-08,2008,"Thin","Pre-Treatment","Abnormally Dry",0.267851165203696,0.274164507487594,0.0196551359896808,"UB-Even","24","LE07",0.189534826942568,0.195935551777184,0.0273850837621238,-0.25464961458845,-0.257959207555445,0.0152287628960094,7
"9",2008-07-08,2008,"Burn","Pre-Treatment","Abnormally Dry",0.282504861961069,0.281696089196723,0.0134336306496949,"B-Control","3","LE07",0.189118758753954,0.193854073236361,0.0231136669725707,-0.267223806842453,-0.267510337050495,0.0122833826270958,7
"10",2008-07-08,2008,"Burn","Pre-Treatment","Abnormally Dry",0.260768861868905,0.261425802283007,0.0108984679107469,"B-Control","19","LE07",0.15975029786873,0.159732807931374,0.0230410269777178,-0.248949997638093,-0.249884281208525,0.00845431379078745,7
"11",2008-07-08,2008,"Burn","Pre-Treatment","Abnormally Dry",0.26468522813577,0.264995935551588,0.0164723532068226,"B-Control","16","LE07",0.161974790214093,0.162401174662906,0.0307518093482812,-0.252473311009102,-0.251238409754858,0.0127296034910559,7
"12",2008-07-08,2008,"Burn","Pre-Treatment","Abnormally Dry",0.274526737233944,0.275411549516593,0.0189488374680791,"B-Control","14","LE07",0.184494089741835,0.187832082741837,0.0343079997980043,-0.259741205888274,-0.258656671919588,0.0158307024112042,7
"13",2008-07-08,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.285349008358319,0.284713919726729,0.0101779238360932,"B-Variable","2","LE07",0.204149149177085,0.208779265891907,0.0195810207867459,-0.270721483482899,-0.271310685711892,0.00944113655845689,7
"14",2008-07-08,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.270920678753235,0.274573028448464,0.0197607015410102,"B-Variable","15","LE07",0.174887226855143,0.176971317886672,0.0315605751981125,-0.25829227069912,-0.262418810500487,0.0148184655882123,7
"15",2008-07-08,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.262240621943173,0.264864500317958,0.0169085674996783,"B-Variable","18","LE07",0.16136365128585,0.160653684329068,0.028311845164328,-0.251307091925967,-0.249849134778777,0.012509470845424,7
"16",2008-07-08,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.267030818940174,0.268026503832662,0.0167587816056591,"B-Variable","22","LE07",0.183173783871307,0.185307795381099,0.0264182426468008,-0.254877218122506,-0.254447416464994,0.0126504390382646,7
"17",2008-07-08,2008,"Control","Pre-Treatment","Abnormally Dry",0.269658074486613,0.270295595876991,0.00946589090881582,"UB-Control","7","LE07",0.151148386627218,0.155985861380052,0.021649762497239,-0.259484278089513,-0.258571796854859,0.00818348753235619,7
"18",2008-07-08,2008,"Control","Pre-Treatment","Abnormally Dry",0.271134774221231,0.274169251218432,0.0136263960577743,"UB-Control","12","LE07",0.171335618618473,0.173965481389062,0.0393367914916828,-0.259154600934779,-0.258345864661654,0.0115607867630612,7
"19",2008-07-08,2008,"Control","Pre-Treatment","Abnormally Dry",0.285108930871678,0.285060975609756,0.0123655717765338,"UB-Control","6","LE07",0.200610585362484,0.201430553872341,0.0215321287946502,-0.268422405219634,-0.27083773393604,0.00973632249228398,7
"20",2008-07-08,2008,"Control","Pre-Treatment","Abnormally Dry",0.26383100619007,0.266165082986382,0.0161138340882839,"UB-Control","20","LE07",0.158455499816704,0.17099055245008,0.0361405377834943,-0.253345989879674,-0.254464381674944,0.010853814875282,7
"21",2008-07-08,2008,"Thin","Pre-Treatment","Abnormally Dry",0.274140121265608,0.277064063035286,0.0122060715964979,"UB-Variable","10","LE07",0.182496165435739,0.179630984312769,0.0235733548671747,-0.258778362696612,-0.262645249487355,0.011128602892864,7
"22",2008-07-08,2008,"Thin","Pre-Treatment","Abnormally Dry",0.275747912060013,0.275728409041418,0.00681468704169614,"UB-Variable","8","LE07",0.181078423302739,0.181209648671129,0.018091437615334,-0.263548979342383,-0.263564589282715,0.0061079828495973,7
"23",2008-07-08,2008,"Thin","Pre-Treatment","Abnormally Dry",0.279792295487541,0.279868358376997,0.0117512876451283,"UB-Variable","5","LE07",0.197408530348874,0.196565421498214,0.0196995530554278,-0.263971982256875,-0.263055355554614,0.0101631709348934,7
"24",2008-07-08,2008,"Thin","Pre-Treatment","Abnormally Dry",0.267108677117067,0.266722830665543,0.0192273525105678,"UB-Variable","21","LE07",0.170166933150923,0.174616695059625,0.0305894885667525,-0.256965055197205,-0.258583486189478,0.0144174172383172,7
"25",2008-07-24,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.268406597782051,0.26983253039688,0.0159028486779853,"B-Even","1","LE07",0.198105391202499,0.199296046701292,0.0170445094404021,-0.251462453144695,-0.253466146183874,0.0135940944208654,7
"26",2008-07-24,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.256239299156055,0.26130519595673,0.019376598004106,"B-Even","17","LE07",0.156145995214293,0.164307174748564,0.0394557242629694,-0.248811460780621,-0.250274664908811,0.013089732406286,7
"27",2008-07-24,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.257593146645365,0.262144458609927,0.0201005415314198,"B-Even","23","LE07",0.163689778211597,0.16973886328725,0.0313615383000906,-0.245929615768564,-0.249194991055456,0.0140158157160904,7
"28",2008-07-24,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.278204395671501,0.280818616065559,0.0151940153532196,"B-Even","13","LE07",0.192756034868382,0.193435782209204,0.0244702691416474,-0.263445556847482,-0.266392726001049,0.0146970333332901,7
"29",2008-07-24,2008,"Thin","Pre-Treatment","Abnormally Dry",0.255114288975919,0.261594395672608,0.0291176231114229,"UB-Even","9","LE07",0.158830105456689,0.174902224652004,0.0592028383942991,-0.248145789838229,-0.249575096162447,0.019393442402498,7
"30",2008-07-24,2008,"Thin","Pre-Treatment","Abnormally Dry",0.268156910062248,0.269351487555811,0.0142108922441085,"UB-Even","11","LE07",0.17636566189424,0.179831654019986,0.0310737076811765,-0.258738162924516,-0.25872347887077,0.0120521691250224,7
"31",2008-07-24,2008,"Thin","Pre-Treatment","Abnormally Dry",0.279119448738622,0.278478908735181,0.0135782373289893,"UB-Even","4","LE07",0.203519227501844,0.200447464368578,0.0192644419005426,-0.261504146920082,-0.25881115202525,0.0119422619236357,7
"32",2008-07-24,2008,"Thin","Pre-Treatment","Abnormally Dry",0.25512530352781,0.258733624454148,0.0207575267439385,"UB-Even","24","LE07",0.176707486035118,0.183260577568838,0.0273447887952459,-0.244956000063326,-0.248454771035416,0.0177790900736905,7
"33",2008-07-24,2008,"Burn","Pre-Treatment","Abnormally Dry",0.269607041785542,0.270750898258062,0.0132284571117248,"B-Control","3","LE07",0.200751031366132,0.20367129135539,0.0132222482480953,-0.25504709202143,-0.254103100120091,0.0105084057964533,7
"34",2008-07-24,2008,"Burn","Pre-Treatment","Abnormally Dry",0.252459941984738,0.252724581782303,0.012558913646418,"B-Control","19","LE07",0.164121665608879,0.16630141604855,0.0203951966160455,-0.244687861141969,-0.245351999643319,0.00957628010560821,7
"35",2008-07-24,2008,"Burn","Pre-Treatment","Abnormally Dry",0.255026970590692,0.256255691920725,0.0149165810810329,"B-Control","16","LE07",0.152501693534413,0.159148441714736,0.0283838618962502,-0.245957366760718,-0.246000176787766,0.00880437454745521,7
"36",2008-07-24,2008,"Burn","Pre-Treatment","Abnormally Dry",0.274512441667213,0.272549975621648,0.0137133182226469,"B-Control","14","LE07",0.186936247484397,0.18454303823349,0.0284339460825204,-0.260570598703862,-0.258327489481066,0.0109742027187754,7
"37",2008-07-24,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.284269270624003,0.288125137695528,0.0110960360837597,"B-Variable","2","LE07",0.199235096286389,0.201553491351698,0.0195733183747248,-0.268215815316398,-0.271261692314324,0.0101876587458998,7
"38",2008-07-24,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.263594710266109,0.265649797213895,0.0187524777771728,"B-Variable","15","LE07",0.165827406359802,0.16630141604855,0.0273077901853575,-0.252549849169548,-0.255112651646447,0.0134117511624528,7
"39",2008-07-24,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.251857771470375,0.248432354400686,0.0222511794798698,"B-Variable","18","LE07",0.145632452115236,0.143930794222414,0.0307223023826015,-0.24284515341149,-0.242376167812445,0.0152091850490967,7
"40",2008-07-24,2008,"Thin & Burn","Pre-Treatment","Abnormally Dry",0.258021739480889,0.257869138294944,0.0151524790414559,"B-Variable","22","LE07",0.172610051182018,0.170932891020756,0.0199037878932402,-0.245211973919868,-0.248454771035416,0.0140801493399449,7
"41",2008-07-24,2008,"Control","Pre-Treatment","Abnormally Dry",0.266952070034276,0.267862763613472,0.0152395431367017,"UB-Control","7","LE07",0.170544231697762,0.173083930523503,0.0327539348921779,-0.254928530485288,-0.257739316620573,0.0119644236021454,7
"42",2008-07-24,2008,"Control","Pre-Treatment","Abnormally Dry",0.266148648533954,0.265072025609105,0.0120805435282497,"UB-Control","12","LE07",0.173110942409919,0.175882304322671,0.0265214988066559,-0.255331366069257,-0.254840260478126,0.00921548658677751,7
"43",2008-07-24,2008,"Control","Pre-Treatment","Abnormally Dry",0.276587037049991,0.277006478910485,0.0114984219134809,"UB-Control","6","LE07",0.196664816573813,0.196432258330925,0.0215384649832344,-0.263664740959114,-0.262923895039665,0.0108476653146088,7
